"record_id","atd_device_id","read_date","intersection_name","direction","movement","heavy_vehicle","volume","speed_average","speed_stddev","seconds_in_zone_average","seconds_in_zone_stddev","month","day","year","hour","minute","day_of_week","bin_duration"
"858912a93244d54c91eb951f14bff526","6653","2024-07-08T23:30:00.000","38TH ST / MEDICAL PKWY","NORTHBOUND","THRU","true","1","14.0","0.0","8.0","0.0","7","8","2024","23","30","1","900"
"84764340d4e5e7f7dc22ddea8b371e2b","6653","2024-07-08T23:30:00.000","38TH ST / MEDICAL PKWY","SOUTHBOUND","LEFT TURN","false","3","10.0","3.606","0.9","0.361","7","8","2024","23","30","1","900"
"c23f28026129e2d6a402332622370418","6653","2024-07-08T23:30:00.000","38TH ST / MEDICAL PKWY","SOUTHBOUND","LEFT TURN","true","1","11.0","0.0","1.2","0.0","7","8","2024","23","30","1","900"
"2b7af694751ba2204218fc2f7df916ff","6653","2024-07-08T23:30:00.000","38TH ST / MEDICAL PKWY","WESTBOUND","LEFT TURN","true","1","9.0","0.0","26.1","0.0","7","8","2024","23","30","1","900"
"b13ad25e449588c348ff70b5a1e9a271","6653","2024-07-08T23:30:00.000","38TH ST / MEDICAL PKWY","WESTBOUND","THRU","false","23","27.348","10.92","4.417","7.667","7","8","2024","23","30","1","900"
"0a4ad057385b23aa7d880baa54690604","6653","2024-07-08T23:30:00.000","38TH ST / MEDICAL PKWY","WESTBOUND","THRU","true","4","30.25","4.272","0.85","0.819","7","8","2024","23","30","1","900"
"f5c53187dd63bffde7186b81f0391797","6882","2024-07-08T23:30:00.000","AIRPORT BLVD / 51ST ST","EASTBOUND","LEFT TURN","false","1","8.0","0.0","2.1","0.0","7","8","2024","23","30","1","900"
"409c2318b8815215350a07cfe25a501f","6882","2024-07-08T23:30:00.000","AIRPORT BLVD / 51ST ST","EASTBOUND","RIGHT TURN","false","3","10.667","1.155","1.0","1.058","7","8","2024","23","30","1","900"
"65e0ace7bd95429aade800060dff4d0b","6882","2024-07-08T23:30:00.000","AIRPORT BLVD / 51ST ST","EASTBOUND","THRU","false","5","10.6","6.618","7.06","13.678","7","8","2024","23","30","1","900"
"7fe114b0138e3e6470436ef4f6cf5282","6882","2024-07-08T23:30:00.000","AIRPORT BLVD / 51ST ST","EASTBOUND","THRU","true","9","12.0","6.083","1.289","1.359","7","8","2024","23","30","1","900"
"775373079ee01d82b6f25225efaa9d5b","6882","2024-07-08T23:30:00.000","AIRPORT BLVD / 51ST ST","NORTHBOUND","LEFT TURN","false","3","7.333","3.055","1.867","2.25","7","8","2024","23","30","1","900"
"03152fc646c1884ba672ecc0270bcb35","6882","2024-07-08T23:30:00.000","AIRPORT BLVD / 51ST ST","NORTHBOUND","LEFT TURN","true","2","3.0","4.243","0.9","0.707","7","8","2024","23","30","1","900"
"5cc3fc89528b401884709df11aaca4eb","6882","2024-07-08T23:30:00.000","AIRPORT BLVD / 51ST ST","NORTHBOUND","RIGHT TURN","false","2","10.0","2.828","3.3","0.283","7","8","2024","23","30","1","900"
"ce2822744275931ec6da8bd21e35f864","6882","2024-07-08T23:30:00.000","AIRPORT BLVD / 51ST ST","NORTHBOUND","THRU","false","21","19.381","9.795","4.052","6.715","7","8","2024","23","30","1","900"
"8bca923c599746f15ba54e1b1f9af7c8","6882","2024-07-08T23:30:00.000","AIRPORT BLVD / 51ST ST","NORTHBOUND","THRU","true","2","18.0","9.899","6.55","7.142","7","8","2024","23","30","1","900"
"ded28154977dc6584e0c2d6daf4f6d1b","6882","2024-07-08T23:30:00.000","AIRPORT BLVD / 51ST ST","SOUTHBOUND","LEFT TURN","false","1","19.0","0.0","2.4","0.0","7","8","2024","23","30","1","900"
"3206762aeb5f67727458535a8b0010ad","6882","2024-07-08T23:30:00.000","AIRPORT BLVD / 51ST ST","SOUTHBOUND","RIGHT TURN","false","3","9.333","1.528","16.967","21.766","7","8","2024","23","30","1","900"
"77f42bda44f609bab20d413b4f34b38f","6882","2024-07-08T23:30:00.000","AIRPORT BLVD / 51ST ST","SOUTHBOUND","THRU","false","15","28.0","14.56","10.06","14.624","7","8","2024","23","30","1","900"
"2046e82d427905450af356fffbc1d187","6882","2024-07-08T23:30:00.000","AIRPORT BLVD / 51ST ST","SOUTHBOUND","THRU","true","5","35.0","14.832","9.04","17.262","7","8","2024","23","30","1","900"
"25c0279489f2530406843c788c9e295a","6882","2024-07-08T23:30:00.000","AIRPORT BLVD / 51ST ST","WESTBOUND","LEFT TURN","false","1","6.0","0.0","0.1","0.0","7","8","2024","23","30","1","900"
"062bd72939e14dcd613059b5f89a5bed","6882","2024-07-08T23:30:00.000","AIRPORT BLVD / 51ST ST","WESTBOUND","RIGHT TURN","false","3","2.333","4.041","6.567","5.773","7","8","2024","23","30","1","900"
"ac4da747e3d897451e0677ffc87da47f","6882","2024-07-08T23:30:00.000","AIRPORT BLVD / 51ST ST","WESTBOUND","THRU","false","5","6.6","6.731","8.72","7.301","7","8","2024","23","30","1","900"
"9eee4ab31629917b6b7a70c4e0cb80d1","7038","2024-07-08T23:30:00.000","ANDERSON LN / SHOAL CREEK BLVD","EASTBOUND","THRU","false","12","30.167","14.371","0.1","0.346","7","8","2024","23","30","1","900"
"40f699d0f0c16c22e0a8d43ef07ef044","7038","2024-07-08T23:30:00.000","ANDERSON LN / SHOAL CREEK BLVD","EASTBOUND","THRU","true","3","21.0","9.849","0.0","0.0","7","8","2024","23","30","1","900"
"eff66f73624bedfc6f9e0fe34115eac0","7038","2024-07-08T23:30:00.000","ANDERSON LN / SHOAL CREEK BLVD","NORTHBOUND","LEFT TURN","false","1","4.0","0.0","6.1","0.0","7","8","2024","23","30","1","900"
"791f95016fc56d7ab157b88c6785bb97","7038","2024-07-08T23:30:00.000","ANDERSON LN / SHOAL CREEK BLVD","NORTHBOUND","LEFT TURN","true","1","16.0","0.0","0.0","0.0","7","8","2024","23","30","1","900"
"7a84ece73e5a21096e52751106283118","7038","2024-07-08T23:30:00.000","ANDERSON LN / SHOAL CREEK BLVD","SOUTHBOUND","LEFT TURN","false","2","11.0","2.828","0.0","0.0","7","8","2024","23","30","1","900"
"25919a70a9df53653b832bed97f2f553","7038","2024-07-08T23:30:00.000","ANDERSON LN / SHOAL CREEK BLVD","SOUTHBOUND","THRU","true","2","13.0","1.414","0.0","0.0","7","8","2024","23","30","1","900"
"b3b0fce31fabf03b1ba2ea87c8110256","7038","2024-07-08T23:30:00.000","ANDERSON LN / SHOAL CREEK BLVD","WESTBOUND","THRU","false","14","23.071","8.138","0.0","0.0","7","8","2024","23","30","1","900"
"0bce4f6873f8b0424c930e9187739f0b","7038","2024-07-08T23:30:00.000","ANDERSON LN / SHOAL CREEK BLVD","WESTBOUND","THRU","true","2","10.0","14.142","0.0","0.0","7","8","2024","23","30","1","900"
"02ca140b2ac9619664ee7323e7f8c8cd","7343","2024-07-08T23:30:00.000","RIVERSIDE DR / BURTON DR","EASTBOUND","LEFT TURN","false","10","11.4","4.624","4.83","10.035","7","8","2024","23","30","1","900"
"ed345643bb73395cb4c6bfd21e1e9fc7","7343","2024-07-08T23:30:00.000","RIVERSIDE DR / BURTON DR","EASTBOUND","LEFT TURN","true","5","11.8","2.95","9.56","19.842","7","8","2024","23","30","1","900"
"b0fa18b65aad09c03f471557beefbb0a","7343","2024-07-08T23:30:00.000","RIVERSIDE DR / BURTON DR","EASTBOUND","RIGHT TURN","true","1","0.0","0.0","8.4","0.0","7","8","2024","23","30","1","900"
"556dd1eec426c4d6272480eba9bda66e","7343","2024-07-08T23:30:00.000","RIVERSIDE DR / BURTON DR","EASTBOUND","THRU","false","30","22.133","11.473","6.197","13.979","7","8","2024","23","30","1","900"
"8c2a9cb4c94e2e0c7693d75e2bc63fa8","7343","2024-07-08T23:30:00.000","RIVERSIDE DR / BURTON DR","EASTBOUND","THRU","true","12","22.5","13.153","5.65","8.179","7","8","2024","23","30","1","900"
"fb739d30ff9319d24b6bdf32d6f34c20","7343","2024-07-08T23:30:00.000","RIVERSIDE DR / BURTON DR","NORTHBOUND","LEFT TURN","false","4","22.25","6.292","28.225","34.771","7","8","2024","23","30","1","900"
"5baba45b8f0ec7c3649eba9fcdc6a92d","7343","2024-07-08T23:30:00.000","RIVERSIDE DR / BURTON DR","NORTHBOUND","LEFT TURN","true","7","17.571","13.049","4.486","4.533","7","8","2024","23","30","1","900"
"629920fd6ee0247c83d4b91da57e0746","7343","2024-07-08T23:30:00.000","RIVERSIDE DR / BURTON DR","NORTHBOUND","THRU","false","5","17.6","19.743","0.4","0.424","7","8","2024","23","30","1","900"
